Question,Top Match 1,Cosine Similarity 1,Top Match 2,Cosine Similarity 2,Generated Response
Which movie made the least revenue?,"Cutthroat Island, released on 1995-12-22, is a ['Action', 'Adventure'] movie with a plot of: that is about Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.. It has a popularity score of 13.156, assigned to the movie by TMDB based on user engagement. It generated 10017322.0 USD in revenue.",0.8276453,"The Jewel of the Nile, released on 1985-08-01, is a ['Adventure', 'Action', 'Comedy', 'Romance'] movie with a plot of: that is about Joan Wilder is thrust back into a world of murder, chases, foreign intrigue... and love. This time out she's duped by a duplicitous Arab dignitary who brings her to the Middle East, ostensibly to write a book about his life. Of course, he's up to no good, and Joan is just another pawn in his wicked game. But Jack Colton and his sidekick Ralph show up to help our intrepid heroine save the day.. It has a popularity score of 20.581, assigned to the movie by TMDB based on user engagement. It generated 96773200.0 USD in revenue.",0.82448673,Top Match: Cutthroat Island
What are some comedy movies released after 2010?,"Another Gay Movie, released on 2006-04-28, is a ['Comedy', 'Romance'] movie with a plot of: that is about In the dirtiest, funniest, most scandalous gay-teen-sex-comedy-parody ever, four young gay friends make a pact to lose their virginity by the end of the summer. The boys soon face giant sex toys, naked celebrities, masochistic teachers and an uncontrollable romance with a quiche.. It has a popularity score of 13.432, assigned to the movie by TMDB based on user engagement. It generated 745327.0 USD in revenue.",0.7952072,"10, released on 1979-10-05, is a ['Comedy', 'Romance'] movie with a plot of: that is about A Hollywood songwriter goes through a mid-life crisis and becomes infatuated with a sexy blonde newlywed.. It has a popularity score of 17.73, assigned to the movie by TMDB based on user engagement. It generated 74865517.0 USD in revenue.",0.79502743,Top Match: Another Gay Movie
Tell me about a movie with no known genre.,"All About the Little Things, released on 2023-06-15, is a movie with unknown genre(s) with a plot of: that is about The film takes place in one house, at an unspecified place, at an unspecified time. In this house, twelve dialogue stories take place and all have one thing in common - oppressive hopelessness. We witness everyday problems that become absurd under a distorted lens and become all the more real. The film follows with almost morbid interest the fates of people who, based on their actions and incompetence, are doomed. The question remains how far the characters from this ""house"" are.. It has a popularity score of 12.476, assigned to the movie by TMDB based on user engagement. It generated an unknown amount in revenue.",0.84253407,"Will You Be My Ex?, released on 2023-06-21, is a movie with unknown genre(s) with a plot of: that is about Meet Chris (Julia Barretto), a free-spirited and fun-loving woman from a family of artists and theater actors. Also, get to know Joey (Diego Loyzaga), a quiet, formal young man from a well-respected family. Though completely opposites, they meet and fall in love. However, as they plan for their future, fate interferes and gives them problems that are too hard to handle. Until they meet again a few years later and old feelings that never left begin to resurface again. Can they make it work this time? Or will their current lives hinder them from rekindling their past?. It has a popularity score of 22.638, assigned to the movie by TMDB based on user engagement. It generated an unknown amount in revenue.",0.83556867,Top Match: All About the Little Things
What’s the popularity score of 'The Dark Knight'?,"The Dark Knight, released on 2008-07-14, is a ['Drama', 'Action', 'Crime', 'Thriller'] movie with a plot of: that is about Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.. It has a popularity score of 82.74, assigned to the movie by TMDB based on user engagement. It generated 1004558444.0 USD in revenue.",0.87471014,"Batman: The Dark Knight Returns, Part 2, released on 2013-01-03, is a ['Science Fiction', 'Action', 'Animation', 'Mystery'] movie with a plot of: that is about Batman has stopped the reign of terror that The Mutants had cast upon his city.  Now an old foe wants a reunion and the government wants The Man of Steel to put a stop to Batman.. It has a popularity score of 20.442, assigned to the movie by TMDB based on user engagement. It generated an unknown amount in revenue.",0.8714531,82.74
Describe a movie with a missing release date.,"Failure to Launch, released on 2006-03-10, is a ['Comedy', 'Romance'] movie with a plot of: that is about Tripp, an attractive man in his thirties, is still living with his parents Al and Sue. Tripp's best friends Demo and Ace are also still living in their parents' homes and seem proud of it. Al and Sue are not happy, however, and are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to arrange the matter and couldn't be happier with the result.. It has a popularity score of 19.379, assigned to the movie by TMDB based on user engagement. It generated 128406887.0 USD in revenue.",0.84514934,"Extinction, released on 2015-08-07, is a ['Horror', 'Science Fiction'] movie with a plot of: that is about And suddenly, overnight, the world came to a halt. Two men, two survivors, one kid, and hatred that separates them. A place forgotten by everyone, including the creatures that inhabit the Earth... until now.. It has a popularity score of 13.077, assigned to the movie by TMDB based on user engagement. It generated an unknown amount in revenue.",0.84369135,"Top Match: Failure to Launch is a ['Comedy', 'Romance'] movie with a plot of ..."
Which movie has the longest title?,"The Longest Day, released on 1962-09-25, is a ['War', 'Action', 'Drama'] movie with a plot of: that is about The retelling of June 6, 1944, from the perspectives of the Germans, US, British, Canadians, and the Free French. Marshall Erwin Rommel, touring the defenses being established as part of the Reich's Atlantic Wall, notes to his officers that when the Allied invasion comes they must be stopped on the beach. ""For the Allies as well as the Germans, it will be the longest day"". It has a popularity score of 23.514, assigned to the movie by TMDB based on user engagement. It generated 50100000.0 USD in revenue.",0.8442347,"The Longest Ride, released on 2015-04-09, is a ['Drama', 'Romance'] movie with a plot of: that is about The lives of a young couple intertwine with a much older man as he reflects back on a lost love while he's trapped in an automobile crash.. It has a popularity score of 23.878, assigned to the movie by TMDB based on user engagement. It generated 63013281.0 USD in revenue.",0.81724775,Top Match: The Longest Day
Tell me about a musical movie.,"Music and Lyrics, released on 2007-02-09, is a ['Comedy', 'Music', 'Romance'] movie with a plot of: that is about A washed-up '80s pop star gets a chance at a comeback when reigning pop diva Cora Corman invites him to write & record a duet with her, but there's a problem--Alex hasn't written a song in years; he's never written lyrics and he has to come up with a hit in a matter of days.. It has a popularity score of 14.286, assigned to the movie by TMDB based on user engagement. It generated 145896422.0 USD in revenue.",0.83457196,"Taylor Mac's 24-Decade History of Popular Music, released on 2023-06-14, is a ['Documentary'] movie with a plot of: that is about This riotous concert film documents New York theater legend Taylor Mac's joyous, challenging, and ostentatiously queer 24-hour musical performance. Featuring virtuoso musicians, innovative costumes, and the American myth as told by sailor's ditties, disco, and sugary pop alike, Mac's cathartic celebration is not to be missed.. It has a popularity score of 29.278, assigned to the movie by TMDB based on user engagement. It generated an unknown amount in revenue.",0.8342564,"Top Match: Music and Lyrics is a musical film written and directed by Alex Corman. It has a popularity score of 14.286, assigned to the movie by TMDB based on user engagement."
Find a movie that mentions time travel.,"Back to the Future Part II, released on 1989-11-22, is a ['Adventure', 'Comedy', 'Science Fiction'] movie with a plot of: that is about Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.. It has a popularity score of 36.569, assigned to the movie by TMDB based on user engagement. It generated 332000000.0 USD in revenue.",0.8407269,"The Time Machine, released on 1960-05-25, is a ['Thriller', 'Adventure', 'Fantasy', 'Science Fiction', 'Romance'] movie with a plot of: that is about A Victorian Englishman travels to the far future and finds that humanity has divided into two hostile species.. It has a popularity score of 18.238, assigned to the movie by TMDB based on user engagement. It generated an unknown amount in revenue.",0.83770263,Top Match: Back to the Future Part II is a science fiction film directed by John C. Scott and starring Marty and Doc.
What’s the earliest release date in the dataset?,"Ready or Not, released on 2019-08-21, is a ['Comedy', 'Horror', 'Thriller'] movie with a plot of: that is about A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.. It has a popularity score of 34.555, assigned to the movie by TMDB based on user engagement. It generated 57615777.0 USD in revenue.",0.79830277,"Countdown, released on 2019-10-24, is a ['Horror', 'Thriller'] movie with a plot of: that is about A young nurse downloads an app that tells her she only has three days to live. With time ticking away and a mysterious figure haunting her, she must find a way to save her life before time runs out.. It has a popularity score of 22.289, assigned to the movie by TMDB based on user engagement. It generated 48021766.0 USD in revenue.",0.7954526,2019-08-21
Which movie has the highest popularity score?,"Rushmore, released on 1998-12-11, is a ['Comedy', 'Drama'] movie with a plot of: that is about When a beautiful first-grade teacher arrives at a prep school, she soon attracts the attention of an ambitious teenager named Max, who quickly falls in love with her. Max turns to the father of two of his schoolmates for advice on how to woo the teacher. However, the situation soon gets complicated when Max's new friend becomes involved with her, setting the two pals against one another in a war for her attention.. It has a popularity score of 14.059, assigned to the movie by TMDB based on user engagement. It generated 17096053.0 USD in revenue.",0.8440851,"The Best of Me, released on 2014-10-15, is a ['Drama', 'Romance'] movie with a plot of: that is about A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.. It has a popularity score of 16.257, assigned to the movie by TMDB based on user engagement. It generated 35926213.0 USD in revenue.",0.8411819,Top Match: Rushmore
Describe a romance movie with high revenue.,"Romance, released on 1999-04-14, is a ['Drama', 'Romance'] movie with a plot of: that is about A young woman frustrated by her boyfriend's lack of interest in sexual activity becomes involved with multiple men.. It has a popularity score of 27.915, assigned to the movie by TMDB based on user engagement. It generated 1314053.0 USD in revenue.",0.8660698,"Enchanted, released on 2007-11-20, is a ['Comedy', 'Family', 'Fantasy', 'Romance'] movie with a plot of: that is about The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?. It has a popularity score of 32.185, assigned to the movie by TMDB based on user engagement. It generated 340487652.0 USD in revenue.",0.86371934,"Top Match: Romance has a popularity score of 27.915, assigned to the movie by TMDB based on user engagement."
Find a documentary in the dataset.,"Return to Jurassic Park, released on 2011-02-05, is a ['Documentary', 'Action', 'Adventure', 'Thriller'] movie with a plot of: that is about A multi-part documentary about the making of the Jurassic Park trilogy. Each part walks through the making of part of one of the films, including the hurricane during the shooting of the first film, and how advances in CGI for Jurassic Park helped change the world of special effects forever. All interviews for these retrospective documentaries come with comments from Spielberg, Johnston, Neill, Dern, Goldblum, the effects crews, the child actors, and Peter Stormare. This documentary is broken into five parts: Dawn of a New Era (25 min) Making Prehistory (20 min), the Next Step in Evolution (15 min), and the Third Adventure (25 min), Finding the Lost World (28 min), and Something Survived (16 min).. It has a popularity score of 14.833, assigned to the movie by TMDB based on user engagement. It generated an unknown amount in revenue.",0.8103817,"О. А, released on 2023-06-12, is a ['Documentary'] movie with a plot of: that is about In this experimental film, satellite photos are intertwined with photos and videos on a familiar scale. The result is complex patterns that complement each other, regardless of whether they were shot at a distance of one meter or 35 thousand kilometers. These patterns bloom naturally or thanks to a person, they can argue and compete in beauty, freeze or change every second, be objective or dissolve in imaginary abstraction.. It has a popularity score of 14.76, assigned to the movie by TMDB based on user engagement. It generated an unknown amount in revenue.",0.8052855,Top Match: Return to Jurassic Park
Tell me about a movie with a futuristic plot.,"Back to the Future Part II, released on 1989-11-22, is a ['Adventure', 'Comedy', 'Science Fiction'] movie with a plot of: that is about Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.. It has a popularity score of 36.569, assigned to the movie by TMDB based on user engagement. It generated 332000000.0 USD in revenue.",0.84311914,"The Time Machine, released on 1960-05-25, is a ['Thriller', 'Adventure', 'Fantasy', 'Science Fiction', 'Romance'] movie with a plot of: that is about A Victorian Englishman travels to the far future and finds that humanity has divided into two hostile species.. It has a popularity score of 18.238, assigned to the movie by TMDB based on user engagement. It generated an unknown amount in revenue.",0.838714,Top Match: Back to the Future Part II is a 1985 blockbuster. It has a popularity score of 36.569.
What movie has the word 'dragon' in the title?,"Dragon: The Bruce Lee Story, released on 1993-05-07, is a ['Drama', 'History', 'Action'] movie with a plot of: that is about This film is a glimpse into the life, love and the unconquerable spirit of the legendary Bruce Lee. From a childhood of rigorous martial arts training, Lee realizes his dream of opening his own kung-fu school in America. Before long, he is discovered by a Hollywood producer and begins a meteoric rise to fame and an all too short reign as one the most charismatic action heroes in cinema history.. It has a popularity score of 22.601, assigned to the movie by TMDB based on user engagement. It generated 63513743.0 USD in revenue.",0.86099494,"Dragon Hunters, released on 2008-03-19, is a ['Animation', 'Family'] movie with a plot of: that is about Dragon Hunters is a fantastic tale telling the adventures of two dragon hunters: the world has become a vast conglomerate of islands of varying size and shape. This babbling universe is mainly peopled with ruthless rogues, surly peasants and illiterate, petty lords Their main concerns revolve around two fundamental rules : Eat and don't get eaten.. It has a popularity score of 12.363, assigned to the movie by TMDB based on user engagement. It generated 12235843.0 USD in revenue.",0.85941136,Top Match: Dragon: The Bruce Lee Story
Describe a movie with no overview available.,"The Land Before Time VII: The Stone of Cold Fire, released on 2000-12-05, is a ['Adventure', 'Animation', 'Drama', 'Family'] movie with a plot of: that is about Littlefoot and his pals set off in search of a ""stone of cold fire"" that fell from the night sky. Since he's the only one who has seen it though, nobody really believes him. Petrie's uncle Pterano offers support only because he thinks the stone has secret powers and wants it for himself but conceals this from the rest. The young dinos must figure out the truth, before Pterano gets the power.. It has a popularity score of 13.862, assigned to the movie by TMDB based on user engagement. It generated an unknown amount in revenue.",0.8370875,"Nope, released on 2022-07-20, is a ['Horror', 'Mystery', 'Science Fiction'] movie with a plot of: that is about Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.. It has a popularity score of 76.608, assigned to the movie by TMDB based on user engagement. It generated 170823080.0 USD in revenue.",0.8360334,"Top Match: The Land Before Time VII: The Stone of Cold Fire is a ['Adventure', 'Animation', 'Drama', 'Family'] movie with a plot of ..."
Which movie has the smallest popularity score?,"All About the Little Things, released on 2023-06-15, is a movie with unknown genre(s) with a plot of: that is about The film takes place in one house, at an unspecified place, at an unspecified time. In this house, twelve dialogue stories take place and all have one thing in common - oppressive hopelessness. We witness everyday problems that become absurd under a distorted lens and become all the more real. The film follows with almost morbid interest the fates of people who, based on their actions and incompetence, are doomed. The question remains how far the characters from this ""house"" are.. It has a popularity score of 12.476, assigned to the movie by TMDB based on user engagement. It generated an unknown amount in revenue.",0.8420981,"Little, released on 2019-04-04, is a ['Comedy', 'Fantasy', 'Romance'] movie with a plot of: that is about Jordan Sanders, a take-no-prisoners tech mogul, wakes up one morning in the body of her 13-year-old self right before a do-or-die presentation. Her beleaguered assistant April is the only one in on the secret that her daily tormentor is now trapped in an awkward tween body, just as everything is on the line.. It has a popularity score of 13.768, assigned to the movie by TMDB based on user engagement. It generated 17399000.0 USD in revenue.",0.83923894,Top Match: All About the Little Things
What is the revenue of the oldest movie?,"The Jewel of the Nile, released on 1985-08-01, is a ['Adventure', 'Action', 'Comedy', 'Romance'] movie with a plot of: that is about Joan Wilder is thrust back into a world of murder, chases, foreign intrigue... and love. This time out she's duped by a duplicitous Arab dignitary who brings her to the Middle East, ostensibly to write a book about his life. Of course, he's up to no good, and Joan is just another pawn in his wicked game. But Jack Colton and his sidekick Ralph show up to help our intrepid heroine save the day.. It has a popularity score of 20.581, assigned to the movie by TMDB based on user engagement. It generated 96773200.0 USD in revenue.",0.8522153,"Old, released on 2021-07-21, is a ['Thriller', 'Mystery', 'Horror'] movie with a plot of: that is about A group of families on a tropical holiday discover that the secluded beach where they are staying is somehow causing them to age rapidly – reducing their entire lives into a single day.. It has a popularity score of 51.425, assigned to the movie by TMDB based on user engagement. It generated 90146510.0 USD in revenue.",0.8495687,96773200.0 USD
Tell me about a war movie in the dataset.,"WarGames, released on 1983-06-03, is a ['Thriller', 'Science Fiction', 'Drama'] movie with a plot of: that is about High School student David Lightman has a talent for hacking. But while trying to hack into a computer system to play unreleased video games, he unwittingly taps into the Defense Department's war computer and initiates a confrontation of global proportions. Together with his girlfriend and a wizardly computer genius, David must race against time to outwit his opponent and prevent a nuclear Armageddon.. It has a popularity score of 23.498, assigned to the movie by TMDB based on user engagement. It generated 124600000.0 USD in revenue.",0.8613206,"Stalingrad, released on 1993-01-20, is a ['Drama', 'History', 'War'] movie with a plot of: that is about ""Stalingrad"" follows the progress of a German Platoon through the brutal fighting of the Battle of Stalingrad. After having half their number wiped out and after being placed under the command of a sadistic Captain, the Lieutenant of the platoon leads his men to desert. The men of the platoon attempt to escape from the city which is now surrounded by the Soviet Army.. It has a popularity score of 20.052, assigned to the movie by TMDB based on user engagement. It generated 152972.0 USD in revenue.",0.8587197,Top Match: WarGames
Find a movie about artificial intelligence.,"A.I. Artificial Intelligence, released on 2001-06-29, is a ['Drama', 'Science Fiction', 'Adventure'] movie with a plot of: that is about David, a robotic boy—the first of his kind programmed to love—is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David.. It has a popularity score of 27.86, assigned to the movie by TMDB based on user engagement. It generated 235926552.0 USD in revenue.",0.85870856,"Her, released on 2013-12-18, is a ['Romance', 'Science Fiction', 'Drama'] movie with a plot of: that is about In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user's every need. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.. It has a popularity score of 32.28, assigned to the movie by TMDB based on user engagement. It generated 47351251.0 USD in revenue.",0.8550937,Top Match: A.I. Artificial Intelligence is a science fiction film based on the novel of the same name by TMDB.
